,nation,player_name,team,url
258,Serbia,Ljubomir Fejsa,SL Benfica,https://www.fifaindex.com/player/183376/ljubomir-fejsa/
259,Uruguay,Fernando Muslera,Galatasaray,https://www.fifaindex.com/player/182494/fernando-muslera/
260,Croatia,Vedran ?orluka,Lokomotiv Moscow,https://www.fifaindex.com/player/181786/vedran-%C4%87orluka/
261,Netherlands,Georginio Wijnaldum,Liverpool,https://www.fifaindex.com/player/181291/georginio-wijnaldum/
262,England,Adam Lallana,Liverpool,https://www.fifaindex.com/player/180819/adam-lallana/
263,Argentina,Federico Fazio,Roma,https://www.fifaindex.com/player/179847/federico-fazio/
264,France,Olivier Giroud,Arsenal,https://www.fifaindex.com/player/178509/olivier-giroud/
265,Serbia,Branislav Ivanovi?,Zenit,https://www.fifaindex.com/player/178372/branislav-ivanovi%C4%87/
266,Germany,Lars Bender,Bayer 04,https://www.fifaindex.com/player/177457/lars-bender/
267,Belgium,Axel Witsel,Free Agents,https://www.fifaindex.com/player/177413/axel-witsel/
268,France,Morgan Schneiderlin,Everton,https://www.fifaindex.com/player/177358/morgan-schneiderlin/
269,France,K?vin Gameiro,Atl?tico Madrid,https://www.fifaindex.com/player/176600/k%C3%A9vin-gameiro/
270,Bosnia Herzegovina,Asmir Begovi?,Bournemouth,https://www.fifaindex.com/player/172723/asmir-begovi%C4%87/
271,Brazil,Naldo,FC Schalke 04,https://www.fifaindex.com/player/171919/naldo/
272,England,Daniel Sturridge,Liverpool,https://www.fifaindex.com/player/171833/daniel-sturridge/
273,Italy,Emiliano Viviano,Sampdoria,https://www.fifaindex.com/player/168354/emiliano-viviano/
274,Germany,Gonzalo Castro,Bor. Dortmund,https://www.fifaindex.com/player/167431/gonzalo-castro/
275,Italy,Andrea Consigli,Sassuolo,https://www.fifaindex.com/player/163489/andrea-consigli/
276,Portugal,Jo?o Moutinho,AS Monaco,https://www.fifaindex.com/player/162347/jo%C3%A3o-moutinho/
277,France,Lo?c Perrin,AS Saint-?tienne,https://www.fifaindex.com/player/159147/lo%C3%AFc-perrin/
278,Argentina,Lucas Biglia,Milan,https://www.fifaindex.com/player/158963/lucas-biglia/
